"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"6KN42610008D80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00127",20240516,1400,7,7,,"T"
0,"6KNY427B008D80","2721","9543",0,"MF20",,"COWLING,BOTTOM 2 SUB ASSY","00127",20240516,1400,7,7,,"T"
0,"6KNY427M008D80","2721","9543",0,"MF20",,"COWLING,BOTTOM 3 SUB ASSY","00127",20240516,1400,7,7,,"T"
0,"6KWY426A030080","2721","9543",0,"MF20",,"TOP COWLING ASSY","00381",20240516,1600,16,16,,"T"
0,"6KXY426A030080","2721","9543",0,"MF20",,"TOP COWLING ASSY","00050",20240516,1600,1,1,,"T"
0,"6KYY426A030080","2721","9543",0,"MF20",,"TOP COWLING ASSY","00186",20240516,1600,13,13,,"T"
0,"69J42741008D80","3525","9543",0,"MF20","A0A","APRON 1","00998",20240516,1600,30,30,,"T"
0,"69J42771008D80","3525","9543",0,"MF20","A0A","APRON 2","00998",20240516,1600,30,30,,"T"
0,"6MLY426A01CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00111",20240516,1100,15,15,,"T"
0,"6MLY426A018D80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00073",20240516,1100,10,10,,"T"
0,"6MLY426A01CJ80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00036",20240516,1100,21,21,,"T"
0,"6KAY426A02CJ80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00006",20240516,900,33,33,,"T"
0,"6KDY426A02CJ80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00005",20240516,1100,8,8,,"T"
0,"6KFY426A028D80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00037",20240516,900,2,2,,"T"
0,"6KFY426A12CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00028",20240516,900,1,1,,"T"
0,"6LUY426A008D80","2721","9546",0,"MF21",,"TOP COWLING ASSY","00631",20240516,1600,4,4,,"T"
0,"6LU42610008D80","2721","9546",0,"MF21",,"TOP COWLING ASSY.","00034",20240516,1600,16,16,,"T"
0,"6LHY426A00CJ80","2721","9546",0,"MF21",,"TOP COWLING ASSY","00030",20240516,900,20,20,,"T"
0,"63P42610728D80","2721","9546",0,"MF21",,"TOP COWLING ASSY","00036",20240516,1600,5,5,,"T"
0,"6BM42610028D80","2721","9546",0,"MF21",,"TOP COWLING ASSY","00096",20240516,1600,15,15,,"T"
0,"69J13411010080","8806","9550",0,"MF11","AD2","STRAINER,OIL","00600",20240516,900,20,20,,"T"
0,"69J13411010080","8806","9550",0,"MF11","AD2","STRAINER,OIL","00601",20240516,1100,10,10,,"T"
0,"6KA42401200080","946X","9552",0,"MF10","AD4","POWER STRG. CYL. ASSY.","00612",20240516,1100,40,40,,"T"
0,"6KA42401200080","946X","9552",0,"MF10","AD4","POWER STRG. CYL. ASSY.","00613",20240516,1600,50,50,,"T"
0,"63P13411000080","8806","9553",0,"MF11","AG2","STRAINER,OIL","00742",20240516,900,40,40,,"T"
0,"6P213300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00154",20240516,1600,30,30,,"T"
0,"6GR86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00306",20240516,1600,20,20,,"T"
0,"6P212618220080","3544","9832",0,"MF30","BC3","PULLEY,1","00153",20240516,1600,40,40,,"T"
0,"6CB12618010080","3544","9832",0,"MF30","BC1","PULLEY,1","00426",20240516,900,50,50,,"T"
0,"6CB12618010080","3544","9832",0,"MF30","BC1","PULLEY,1","00427",20240516,1100,60,60,,"T"
0,"6CB12618010080","3544","9832",0,"MF30","BC1","PULLEY,1","00428",20240516,1400,30,30,,"T"
0,"6CB12618010080","3544","9832",0,"MF30","BC1","PULLEY,1","00429",20240516,1600,20,20,,"T"
0,"6CB12619010080","3544","9832",0,"MF30","BC1","PULLEY,2","00426",20240516,900,50,50,,"T"
0,"6CB12619010080","3544","9832",0,"MF30","BC1","PULLEY,2","00427",20240516,1100,60,60,,"T"
0,"6CB12619010080","3544","9832",0,"MF30","BC1","PULLEY,2","00428",20240516,1400,30,30,,"T"
0,"6CB12619010080","3544","9832",0,"MF30","BC1","PULLEY,2","00429",20240516,1600,20,20,,"T"
0,"6GR13300010080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00255",20240516,1600,10,10,,"T"
0,"6CB86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00626",20240516,900,80,80,,"T"
0,"6CB86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00627",20240516,1100,120,120,,"T"
0,"6CB86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00628",20240516,1400,80,80,,"T"
0,"6CB86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00629",20240516,1600,80,80,,"T"
0,"6CB13300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00505",20240516,900,50,50,,"T"
0,"6CB13300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00506",20240516,1100,60,60,,"T"
0,"6CB13300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00507",20240516,1400,30,30,,"T"
0,"6CB13300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00508",20240516,1600,20,20,,"T"
0,"6MLY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00132",20240516,1400,30,30,,"T"
0,"6MLY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00133",20240516,1600,20,20,,"T"
0,"6MLY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00132",20240516,1400,30,30,,"T"
